# Logfile created on 2018-11-20 13:43:37 +0000 by logger.rb/56815
[2018-11-20T13:43:38+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2018-11-20T13:43:38+00:00] INFO: *** Chef 13.6.4 ***
[2018-11-20T13:43:38+00:00] INFO: Platform: x86_64-linux
[2018-11-20T13:43:38+00:00] INFO: Chef-client pid: 30
[2018-11-20T13:43:38+00:00] INFO: The plugin path /etc/chef/ohai/plugins does not exist. Skipping...
[2018-11-20T13:43:38+00:00] WARN: Plugin Network: unable to detect ipaddress
[2018-11-20T13:43:39+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2018-11-20T13:43:39+00:00] INFO: Run List is [recipe[gitlab]]
[2018-11-20T13:43:39+00:00] INFO: Run List expands to [gitlab]
[2018-11-20T13:43:39+00:00] INFO: Starting Chef Run for b9b466d374fd
[2018-11-20T13:43:39+00:00] INFO: Running start handlers
[2018-11-20T13:43:39+00:00] INFO: Start handlers complete.
[2018-11-20T13:43:40+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.0.0, gitaly@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@0.14.2, acme@3.1.0, crond@0.1.0, compat_resource@12.19.0]
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
